pv_scen,disswitch(r:p4rdt117-p4rdt405)p4r_236,disswitch(r:p4rdt117-p4rdt454)p4r_245,disswitch(r:p4rdt254-p4rdt256)p4r_312,disswitch(r:p4rdt257-p4rdt391)p4r_232,disswitch(r:p4rdt352-p4rdt353)p4r_247,disswitch(r:p4rdt387-p4rdt391)p4r_320,fuse(r:p4rdt351-p4rdt85)p4r_163,fuse(r:p4rdt352-p4rdt85)p4r_164,fuse(r:p4rdt354-p4rdt405)p4r_197,fuse(r:p4rdt383-p4rdt385)p4r_202,fuse(r:p4rdt85-p4rdt87)p4r_162,goab_disswitch(r:p4rdt309-p4rdt310)p4r_223,goab_disswitch(r:p4rdt309-p4rdt354)p4r_322,goab_disswitch(r:p4rdt384-p4rdt434)p4r_288,l(r:p4rdm151-p4rdt84lv),l(r:p4rdm151-p4rlv151),l(r:p4rdm152-p4rdt84lv),l(r:p4rdm152-p4rlv152),l(r:p4rdm212-p4rdt117lv),l(r:p4rdm212-p4rlv208),l(r:p4rdm213-p4rdt117lv),l(r:p4rdm213-p4rlv807),l(r:p4rdm215-p4rdt119lv),l(r:p4rdm215-p4rlv210),l(r:p4rdm216-p4rdt119lv),l(r:p4rdm216-p4rlv211),l(r:p4rdm261-p4rdm262),l(r:p4rdm261-p4rlv254),l(r:p4rdm262-p4rdt146lv),l(r:p4rdm262-p4rlv255),l(r:p4rdm263-p4rdt146lv),l(r:p4rdm263-p4rlv256),l(r:p4rdm653-p4rdm654),l(r:p4rdm653-p4rdt383lv),l(r:p4rdm653-p4rlv641),l(r:p4rdm654-p4rlv642),l(r:p4rdm655-p4rdt383lv),l(r:p4rdm655-p4rlv646),l(r:p4rdm656-p4rdt384lv),l(r:p4rdm656-p4rlv643),l(r:p4rdm657-p4rdt384lv),l(r:p4rdm657-p4rlv644),l(r:p4rdm659-p4rdt385lv),l(r:p4rdm659-p4rlv647),l(r:p4rdm659-p4rlv648),l(r:p4rdm661-p4rdt385lv),l(r:p4rdm661-p4rlv649),l(r:p4rdm667-p4rdt389lv),l(r:p4rdm667-p4rlv655),l(r:p4rdm668-p4rdm669),l(r:p4rdm668-p4rdt389lv),l(r:p4rdm668-p4rlv656),l(r:p4rdm669-p4rlv658),l(r:p4rdm670-p4rdt390lv),l(r:p4rdm670-p4rlv657),l(r:p4rdm673-p4rdm674),l(r:p4rdm673-p4rdt391lv),l(r:p4rdm673-p4rlv659),l(r:p4rdm674-p4rlv660),l(r:p4rdm676-p4rdt391lv),l(r:p4rdm676-p4rlv662),l(r:p4rdm699-p4rdm701),l(r:p4rdm699-p4rdt405lv),l(r:p4rdm699-p4rlv687),l(r:p4rdm701-p4rlv689),l(r:p4rdm702-p4rdm703),l(r:p4rdm702-p4rdt405lv),l(r:p4rdm702-p4rlv690),l(r:p4rdm703-p4rlv691),l(r:p4rdm704-p4rdt406lv),l(r:p4rdm704-p4rlv692),l(r:p4rdm705-p4rdt406lv),l(r:p4rdm705-p4rlv693),l(r:p4rdm756-p4rdt434lv),l(r:p4rdm756-p4rlv744),l(r:p4rdm757-p4rdt434lv),l(r:p4rdm757-p4rlv745),l(r:p4rdm788-p4rdt455lv),l(r:p4rdm788-p4rlv781),l(r:p4rdm789-p4rdt455lv),l(r:p4rdm789-p4rlv782),l(r:p4rdt117-p4rdt118),l(r:p4rdt117-p4rdt405),l(r:p4rdt117-p4rdt405)_cont,l(r:p4rdt117-p4rdt405)_disconnect,l(r:p4rdt117-p4rdt454),l(r:p4rdt117-p4rdt454)_cont,l(r:p4rdt117-p4rdt454)_disconnect,l(r:p4rdt118-p4rdt119),l(r:p4rdt118-p4rdt120),l(r:p4rdt118-p4rdt120)_cont,l(r:p4rdt118-p4rdt120)_disconnect,l(r:p4rdt118lv-p4rlv209),l(r:p4rdt120lv-p4rlv212),l(r:p4rdt145-p4rdt407),l(r:p4rdt145lv-p4rlv253),l(r:p4rdt145lv-p4rlv257),l(r:p4rdt146-p4rdt407),l(r:p4rdt181-p4rdt254),l(r:p4rdt181-p4rdt254)_cont,l(r:p4rdt181-p4rdt254)_disconnect,l(r:p4rdt181lv-p4rlv312),l(r:p4rdt210-p4rdt455),l(r:p4rdt210lv-p4rlv352),l(r:p4rdt252-p4rdt255),l(r:p4rdt252lv-p4rlv429),l(r:p4rdt252lv-p4rlv430),l(r:p4rdt252lv-p4rlv431),l(r:p4rdt252lv-p4rlv432),l(r:p4rdt253-p4rdt255),l(r:p4rdt253lv-p4rlv433),l(r:p4rdt253lv-p4rlv434),l(r:p4rdt254-p4rdt256),l(r:p4rdt254lv-p4rlv435),l(r:p4rdt255-p4rdt256),l(r:p4rdt255lv-p4rlv436),l(r:p4rdt256-p4rdt257),l(r:p4rdt256lv-p4rlv437),l(r:p4rdt257-p4rdt391),l(r:p4rdt257-p4rdt391)_cont,l(r:p4rdt257-p4rdt391)_disconnect,l(r:p4rdt257lv-p4rlv438),l(r:p4rdt309-p4rdt310),l(r:p4rdt309-p4rdt310)_cont,l(r:p4rdt309-p4rdt310)_disconnect,l(r:p4rdt309-p4rdt354),l(r:p4rdt309-p4rdt354)_cont,l(r:p4rdt309-p4rdt354)_disconnect,l(r:p4rdt309-p4rdt84),l(r:p4rdt309-p4rdt84)_cont,l(r:p4rdt309-p4rdt84)_disconnect,l(r:p4rdt309lv-p4rlv518),l(r:p4rdt310-p4rdt436),l(r:p4rdt310-p4rdt436)_cont,l(r:p4rdt310-p4rdt436)_disconnect,l(r:p4rdt310lv-p4rlv519),l(r:p4rdt351-p4rdt85),l(r:p4rdt351lv-p4rlv593),l(r:p4rdt352-p4rdt353),l(r:p4rdt352-p4rdt85),l(r:p4rdt352lv-p4rlv594),l(r:p4rdt353-p4rdt407),l(r:p4rdt353-p4rdt407)_cont,l(r:p4rdt353-p4rdt407)_disconnect,l(r:p4rdt353lv-p4rlv595),l(r:p4rdt354-p4rdt405),l(r:p4rdt354-p4rdt405)_cont,l(r:p4rdt354-p4rdt405)_disconnect,l(r:p4rdt354-p4rhs8_1247),l(r:p4rdt354lv-p4rlv596),l(r:p4rdt382-p4rdt387),l(r:p4rdt382lv-p4rlv639),l(r:p4rdt382lv-p4rlv640),l(r:p4rdt383-p4rdt384),l(r:p4rdt383-p4rdt385),l(r:p4rdt384-p4rdt434),l(r:p4rdt384-p4rdt434)_cont,l(r:p4rdt384-p4rdt434)_disconnect,l(r:p4rdt384lv-p4rlv645),l(r:p4rdt385-p4rdt386),l(r:p4rdt385lv-p4rlv650),l(r:p4rdt386-p4rdt387),l(r:p4rdt386lv-p4rlv651),l(r:p4rdt387-p4rdt391),l(r:p4rdt387lv-p4rlv652),l(r:p4rdt388-p4rdt389),l(r:p4rdt388lv-p4rlv653),l(r:p4rdt388lv-p4rlv654),l(r:p4rdt389-p4rdt390),l(r:p4rdt390-p4rdt391),l(r:p4rdt390lv-p4rlv663),l(r:p4rdt390lv-p4rlv664),l(r:p4rdt391-p4rdt392),l(r:p4rdt391lv-p4rlv661),l(r:p4rdt392lv-p4rlv665),l(r:p4rdt405lv-p4rlv688),l(r:p4rdt406-p4rdt407),l(r:p4rdt407lv-p4rlv694),l(r:p4rdt434-p4rdt435),l(r:p4rdt435-p4rdt436),l(r:p4rdt435lv-p4rlv746),l(r:p4rdt436lv-p4rlv747),l(r:p4rdt436lv-p4rlv748),l(r:p4rdt454-p4rdt455),l(r:p4rdt454lv-p4rlv780),l(r:p4rdt83-p4rdt84),l(r:p4rdt83-p4rdt85),l(r:p4rdt83lv-p4rlv149),l(r:p4rdt83lv-p4rlv150),l(r:p4rdt83lv-p4rlv153),l(r:p4rdt85-p4rdt87),l(r:p4rdt85lv-p4rlv154),l(r:p4rdt86-p4rdt87),l(r:p4rdt86lv-p4rlv155),l(r:p4rdt87lv-p4rlv156),sb1_p4rhs8_1247_30,sb1_p4rhs8_1247_33,sb1_p4rhs8_1247_348,sb1_p4rhs8_1247_35,sb1_p4rhs8_1247_350,sb1_p4rhs8_1247_361
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.505217391304342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.55739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
